e2604fd2-0b25-4e40-907f-20e4f7b0b6c2,2020-04-19 13:55:47.307889,2020-04-19 13:55:47.307913,Ночь темна.,The night is dark.,Die Nacht ist dunkel.,Yö on pimeää.
f2061931-e7b9-4ae6-a0ef-25397bcb9465,2020-04-19 13:57:33.868683,2020-04-19 13:57:33.868710,Доброй ночи.,Good night.,Gute Nacht.,Hyvää yötä.
d3ab7d32-7f17-4a17-a39f-2807dca6fd53,2020-04-19 17:44:10.575146,2020-04-19 17:44:10.575172,Ночь длится 6 часов.,The night lasts 6 hours.,Die Nacht dauert 6 Stunden.,Yö kestää 6 tuntia.
bc2fdf70-9a1f-48a3-b3d7-40a93b680bc4,2020-04-19 17:50:53.836040,2020-04-19 17:50:53.836067,Добрый вечер.,Good evening.,Guten Abend.,Hyvää iltaa.
1bc0e5b4-b838-4681-a665-5bd3353bd4ba,2020-04-19 17:53:09.586384,2020-04-19 17:53:09.586406,Вечер это время отдыха.,Evening is a time of rest.,Der Abend ist eine Zeit der Ruhe.,Ilta on lepoaika.
61c6f027-9158-40d9-a9b3-d2445e701cab,2020-04-19 17:54:24.950074,2020-04-19 17:54:24.950097,Что ты делаешь вечером?,What do you do in the evening?,Was machst du abends?,Mitä teet illalla?
4f74a854-d122-424d-a5fe-6b4970f9b4b3,2020-04-19 17:57:30.544417,2020-04-19 17:57:40.447786,Привет! Как дела?,Hello! How are you?,Hallo! Wie geht's?,Hei! Mitä kuuluu?
b4b416ea-23ba-40c5-841f-6e837f01bf90,2020-04-19 17:59:51.117678,2020-04-19 17:59:51.117701,Доброе утро.,Good morning.,Guten Morgen.,Hyvää huomenta.
68e31121-a920-4ed5-933d-941deec04e92,2020-04-19 18:01:32.278488,2020-04-19 18:01:32.278512,Я просыпаюсь рано утром.,I wake up early in the morning.,Ich wache früh morgens auf.,Herään aikaisin aamulla.
963c912a-fc44-4ae8-9a36-57cf2c227ff1,2020-04-19 18:03:28.371892,2020-04-19 18:03:28.371915,Мне нравится утро.,I like the morning.,Minä pidän aamusta.,Ich mag den Morgen.
0ce2b999-8e00-4905-9bc4-6a79a279bdcb,2020-04-19 18:06:49.619158,2020-04-19 18:06:49.619184,С Новым Годом!,Happy New Year!,Glückliches neues Jahr!,Hyvää uutta vuotta!
07d2d621-a270-49cb-ae53-9f7bcd6332cd,2020-04-19 18:08:21.439327,2020-04-19 18:08:21.439353,В году 12 месяцев.,There are 12 months in a year.,Ein Jahr hat 12 Monate.,Vuodessa on 12 kuukautta.
73740004-eeec-4d19-9f03-6dd914bc38e7,2020-04-19 18:17:04.554352,2020-04-19 18:17:04.554375,Это был хороший год.,It was a good year.,Es war ein gutes Jahr.,Se oli hyvä vuosi.
abee2e08-0e35-45c3-a029-8f65b427d1b6,2020-04-19 18:19:54.830744,2020-04-19 18:19:54.830767,Какой сегодня день?,What day is today?,Welcher Tag ist heute?,Mikä päivä tänään on?
2675c0db-e658-4cc2-869c-71b4180d95ec,2020-04-19 18:21:44.994802,2020-04-19 18:21:44.994829,День пролетел быстро.,The day passed quickly.,Der Tag verging schnell.,Päivä kului nopeasti.
337f1d64-28f3-417e-9a3c-f358e2f3140f,2020-04-19 18:22:27.380721,2020-04-19 18:22:27.380746,Кто эта женщина?,Who is this woman?,Wer ist diese Frau?,Kuka tämä nainen on?
83252646-1ff9-481b-8811-d6b2d205048c,2020-04-19 18:24:03.076079,2020-04-19 18:24:03.076102,Женщина улыбается.,The woman is smiling.,Die Frau lächelt.,Nainen hymyilee.
ccb656bf-444e-43eb-97fa-f47eef8834f8,2020-04-19 18:26:18.291687,2020-04-19 18:26:18.291710,О чем думают женщины?,What are women thinking about?,Woran denken Frauen?,Mitä naiset ajattelevat?
f34be323-94fa-46d2-9937-064944edc3be,2020-04-19 18:28:27.691072,2020-04-19 18:28:27.691097,Ребенок ходит в школу.,The child goes to school.,Das Kind geht zur Schule.,Lapsi menee kouluun.
f022aa8f-e2e0-45a4-b497-6af4fd274c30,2020-04-19 18:32:37.414528,2020-04-19 18:32:37.414551,Чей это ребенок?,Whose child is this?,Wessen Kind ist das?,Kenen tämä lapsi on?
1a045333-daaf-4bb5-a3bb-8c6cbd66402b,2020-04-19 18:33:57.831435,2020-04-19 18:33:57.831458,Кто это мужчина?,Who is this man?,Wer ist dieser Mann?,Kuka tämä mies on?
ac5caf83-dfe8-4536-a996-7ed2102240c6,2020-04-19 18:37:23.880941,2020-04-19 18:37:23.880967,Мужчины чинят машину.,Men repair the car.,Männer reparieren ein Auto.,Miehet korjaavat autoa.
2b77a638-bef3-415d-a081-2a792e485314,2020-04-19 18:41:04.060006,2020-04-19 18:41:04.060028,Мужчина рассказывает историю.,A man tells a story.,Ein Mann erzählt eine Geschichte.,Mies kertoo tarinan.
7d6e489b-0220-4cff-a279-857969b5d5bf,2020-04-19 18:18:06.468459,2020-04-19 18:54:25.664126,Добрый день.,Good afternoon!,Guten Tag.,Hyvää päivää.
f5109553-4b40-4a2e-9e6d-f4dcb1eda308,2020-04-19 18:27:19.740110,2020-04-19 18:55:04.871574,Дети играют во вдоре.,Children play in the yard.,Kinder spielen im Hof.,Lapset leikkivät pihalla.
